BASE,cond,couple,dataset,group,maskdistill,probe,rel_rot,rel_tdir,rkd_sh_a,rkd_sh_d,scene,state
0.11271832883358002,clean,0.030691152438521385,7scenes,lora_early,0.04558071121573448,probe0,0.01611698418855667,1.4387542009353638,0.022348204627633095,0.04597180709242821,office,theta0
0.06443909555673599,clean,0.01662556640803814,7scenes,lora_late,0.026421358808875084,probe0,0.008224033750593662,0.7082445621490479,0.013023045845329762,0.023823801428079605,office,theta0
0.008025728166103363,clean,0.0028692493215203285,7scenes,cam_token,0.004421099554747343,probe0,0.0019194165943190455,0.1135658323764801,0.001522586913779378,0.003290304448455572,office,theta0
0.13008546829223633,clean,0.03502269089221954,7scenes,ALL,0.05286999046802521,probe0,0.018195495009422302,1.6076446771621704,0.025910619646310806,0.05188262090086937,office,theta0
2.390887498855591,m0,0.5245735049247742,7scenes,lora_early,0.30666133761405945,probe0,11.430935859680176,4.682811260223389,0.8968302011489868,0.162734717130661,office,theta0
1.0242253541946411,m0,0.22389458119869232,7scenes,lora_late,0.1333058625459671,probe0,4.876910209655762,1.9949407577514648,0.3822815716266632,0.06920338422060013,office,theta0
0.1813717633485794,m0,0.040466420352458954,7scenes,cam_token,0.021929260343313217,probe0,0.8563802242279053,0.35145509243011475,0.06912797689437866,0.01268918626010418,office,theta0
2.6073505878448486,m0,0.5717899203300476,7scenes,ALL,0.33510076999664307,probe0,12.457283973693848,5.10215950012207,0.9773547649383545,0.17729271948337555,office,theta0
0.551525354385376,clean,0.06970717757940292,7scenes,lora_early,0.18105502426624298,probe1,0.34038084745407104,1.0719795227050781,0.36682987213134766,0.09572949260473251,office,theta0
0.21498553454875946,clean,0.034977156668901443,7scenes,lora_late,0.06845377385616302,probe1,0.03222377598285675,0.29976388812065125,0.10467533022165298,0.03890625014901161,office,theta0
0.02561754547059536,clean,0.004433072172105312,7scenes,cam_token,0.020399056375026703,probe1,0.013694707304239273,0.059253014624118805,0.021266618743538857,0.005564202554523945,office,theta0
0.5924991369247437,clean,0.07811622321605682,7scenes,ALL,0.19463545083999634,probe1,0.3421769142150879,1.1146790981292725,0.3820645809173584,0.10348329693078995,office,theta0
0.2204889953136444,m0,0.034019097685813904,7scenes,lora_early,0.22954970598220825,probe1,0.33318546414375305,0.2633289396762848,0.05572936311364174,0.07575730979442596,office,theta0
0.10343725979328156,m0,0.014450740069150925,7scenes,lora_late,0.08777894824743271,probe1,0.13654394447803497,0.11728649586439133,0.025631414726376534,0.034378353506326675,office,theta0
0.017458366230130196,m0,0.002648188965395093,7scenes,cam_token,0.021689826622605324,probe1,0.02678431011736393,0.019005833193659782,0.003607268212363124,0.0061348555609583855,office,theta0
0.24417096376419067,m0,0.0370558500289917,7scenes,ALL,0.2467157393693924,probe1,0.36107367277145386,0.28889355063438416,0.061447080224752426,0.08341868221759796,office,theta0
0.08785843104124069,clean,0.014016232453286648,7scenes,lora_early,0.024468885734677315,probe0,0.01130594126880169,0.5884672999382019,0.01975102350115776,0.05185522139072418,office,theta_base
0.06668461859226227,clean,0.01340467482805252,7scenes,lora_late,0.01816636696457863,probe0,0.009929588064551353,0.4177282452583313,0.01225294079631567,0.035214681178331375,office,theta_base
0.005827047862112522,clean,0.001808053464628756,7scenes,cam_token,0.002370457863435149,probe0,0.001083129900507629,0.04925861954689026,0.0009995156433433294,0.003645707620307803,office,theta_base
0.11045314371585846,clean,0.01947842724621296,7scenes,ALL,0.030567338690161705,probe0,0.015086226165294647,0.7233374714851379,0.023264490067958832,0.0627879649400711,office,theta_base
0.5352166891098022,m0,0.0565008781850338,7scenes,lora_early,0.16196660697460175,probe0,0.1842353492975235,2.0329105854034424,0.23995894193649292,0.07140744477510452,office,theta_base
0.31411707401275635,m0,0.03379395976662636,7scenes,lora_late,0.08972109854221344,probe0,0.08664271235466003,1.0639554262161255,0.13995210826396942,0.04206634685397148,office,theta_base
0.03276185318827629,m0,0.0037210434675216675,7scenes,cam_token,0.00977570004761219,probe0,0.014241994358599186,0.13913331925868988,0.015574609860777855,0.00478402990847826,office,theta_base
0.6214497089385986,m0,0.06594108790159225,7scenes,ALL,0.18541474640369415,probe0,0.20408932864665985,2.2987136840820312,0.27822554111480713,0.08301498740911484,office,theta_base
0.4721112847328186,clean,0.05004142224788666,7scenes,lora_early,0.09718995541334152,probe1,0.05559783801436424,0.5982666611671448,0.1805596947669983,0.06791901588439941,office,theta_base
0.2708227038383484,clean,0.026983195915818214,7scenes,lora_late,0.058111999183893204,probe1,0.03202658146619797,0.32562917470932007,0.1079571321606636,0.040700964629650116,office,theta_base
