cond,couple,dataset,frames,input,maskdistill,rel_rot,rel_tdir,rkd_sh_a,rkd_sh_d,scene,state
m3,0.029154125601053238,scannetpp,26+93+120+130+153+242+277+322,probe0,0.34049543738365173,0.9460330009460449,0.1371213048696518,0.062293440103530884,0.03519260883331299,09c1414f1b,theta_base
clean,0.0014274490531533957,scannetpp,23+59+68+228+239+336+346+367,probe1,0.10092142224311829,3.579143524169922,0.3444318175315857,0.05073292553424835,0.011659083887934685,09c1414f1b,theta_base
m0,0.00834060087800026,scannetpp,23+59+68+228+239+336+346+367,probe1,0.2778739035129547,3.209704875946045,0.649165153503418,0.05121726915240288,0.008485835045576096,09c1414f1b,theta_base
m1,0.00013851489347871393,scannetpp,23+59+68+228+239+336+346+367,probe1,0.30686163902282715,1.7634366750717163,0.17084062099456787,0.012738990597426891,0.005351491272449493,09c1414f1b,theta_base
m2,0.02479615807533264,scannetpp,23+59+68+228+239+336+346+367,probe1,0.3082299828529358,2.449310064315796,0.2588336765766144,0.003146898467093706,0.005055452696979046,09c1414f1b,theta_base
m3,0.002580533502623439,scannetpp,23+59+68+228+239+336+346+367,probe1,0.2994075417518616,2.3903465270996094,0.31461209058761597,0.0007383694755844772,0.0034605911932885647,09c1414f1b,theta_base
clean,0.0053019290789961815,scannetpp,26+93+120+130+153+242+277+322,probe0,0.15434125065803528,0.14856281876564026,0.08458217978477478,0.041116341948509216,0.01927369087934494,09c1414f1b,theta_rel
m0,0.0032981738913804293,scannetpp,26+93+120+130+153+242+277+322,probe0,0.3652417063713074,1.383392095565796,0.9134129285812378,0.11473047733306885,0.08598043769598007,09c1414f1b,theta_rel
m1,0.04580209031701088,scannetpp,26+93+120+130+153+242+277+322,probe0,0.3212706446647644,0.7588075399398804,0.12691260874271393,0.03962455689907074,0.02002040296792984,09c1414f1b,theta_rel
m2,0.035751763731241226,scannetpp,26+93+120+130+153+242+277+322,probe0,0.38080349564552307,1.603074312210083,0.9130164980888367,0.03450768440961838,0.0397787019610405,09c1414f1b,theta_rel
m3,0.0381307452917099,scannetpp,26+93+120+130+153+242+277+322,probe0,0.3438960909843445,1.1372184753417969,0.15972140431404114,0.06548993289470673,0.035761669278144836,09c1414f1b,theta_rel
clean,0.001930074766278267,scannetpp,23+59+68+228+239+336+346+367,probe1,0.1015009954571724,3.598520040512085,0.3585578203201294,0.05645386502146721,0.011834083124995232,09c1414f1b,theta_rel
m0,0.012103754095733166,scannetpp,23+59+68+228+239+336+346+367,probe1,0.2790352404117584,3.6340107917785645,0.6623274087905884,0.06036244332790375,0.010576996020972729,09c1414f1b,theta_rel
m1,0.0001906266261357814,scannetpp,23+59+68+228+239+336+346+367,probe1,0.3094820976257324,1.7343599796295166,0.17960011959075928,0.01336629968136549,0.004833704326301813,09c1414f1b,theta_rel
m2,0.024652371183037758,scannetpp,23+59+68+228+239+336+346+367,probe1,0.31016671657562256,2.443112850189209,0.258267343044281,0.0030658352188766003,0.004883916117250919,09c1414f1b,theta_rel
m3,0.003247041255235672,scannetpp,23+59+68+228+239+336+346+367,probe1,0.29965367913246155,2.3905093669891357,0.31700393557548523,0.0006605977541767061,0.0035702320747077465,09c1414f1b,theta_rel
clean,1.4501935766020324e-05,scannetpp,14+19+25+26+31+82+84+96,probe0,0.0073629398830235004,3.8857251638546586e-05,0.00010444720828672871,5.839237019245047e-06,9.379327821079642e-06,1ada7a0617,theta0
m0,0.000209974154131487,scannetpp,14+19+25+26+31+82+84+96,probe0,0.15149736404418945,4.93372353957966e-05,0.0006046692724339664,5.920865078223869e-05,3.863186975650024e-06,1ada7a0617,theta0
m1,0.00035183344152756035,scannetpp,14+19+25+26+31+82+84+96,probe0,0.16445806622505188,0.00010150670277653262,0.0006137490272521973,0.00012052943930029869,0.00010257936082780361,1ada7a0617,theta0
m2,0.00021144501806702465,scannetpp,14+19+25+26+31+82+84+96,probe0,0.15634876489639282,7.427991658914834e-05,0.00025323033332824707,6.463898898800835e-05,0.0003205403918400407,1ada7a0617,theta0
m3,1.0324443792342208e-05,scannetpp,14+19+25+26+31+82+84+96,probe0,0.1582639068365097,0.00014801256475038826,9.98079776763916e-05,6.34837078905548e-06,5.509505717782304e-05,1ada7a0617,theta0
clean,0.00014264907804317772,scannetpp,17+44+49+66+70+87+92+96,probe1,0.010065668262541294,6.732422662025783e-06,2.0563602447509766e-05,1.887125108623877e-05,3.435060989431804e-06,1ada7a0617,theta0
m0,0.0005450777825899422,scannetpp,17+44+49+66+70+87+92+96,probe1,0.16978006064891815,0.00030211664852686226,0.0022976300679147243,0.0006327846786007285,3.66941858374048e-05,1ada7a0617,theta0
m1,0.00015205965610221028,scannetpp,17+44+49+66+70+87+92+96,probe1,0.16204321384429932,0.00030818814411759377,0.0007606645813211799,0.0008805346442386508,4.812174302060157e-05,1ada7a0617,theta0
m2,0.00013082539953757077,scannetpp,17+44+49+66+70+87+92+96,probe1,0.1565541923046112,0.00013357933494262397,0.0003368854522705078,8.049934695009142e-05,0.00012168270768597722,1ada7a0617,theta0
m3,0.0004522065573837608,scannetpp,17+44+49+66+70+87+92+96,probe1,0.1617840677499771,0.00015848298789933324,0.0006519159069284797,0.0004083823296241462,4.3953346903435886e-05,1ada7a0617,theta0
clean,1.9375869669602253e-05,scannetpp,14+19+25+26+31+82+84+96,probe0,0.007405146025121212,4.3716740037780255e-05,0.0001138448715209961,9.452873200643808e-06,4.334074674261501e-06,1ada7a0617,theta_base
m0,0.00018554064445197582,scannetpp,14+19+25+26+31+82+84+96,probe0,0.15074670314788818,5.507106470759027e-05,0.0005900065298192203,5.6394957937300205e-05,2.9290481506905053e-06,1ada7a0617,theta_base
m1,0.00038737370050512254,scannetpp,14+19+25+26+31+82+84+96,probe0,0.16347868740558624,0.00010828825179487467,0.0005971193313598633,0.00011428828292991966,9.055972623173147e-05,1ada7a0617,theta_base
m2,0.00015668064588680863,scannetpp,14+19+25+26+31+82+84+96,probe0,0.15536481142044067,5.854699338669889e-05,0.00021567940711975098,5.601660814136267e-05,0.0002888083690777421,1ada7a0617,theta_base
m3,1.0583803486952092e-06,scannetpp,14+19+25+26+31+82+84+96,probe0,0.15752804279327393,0.00014711750554852188,9.951989341061562e-05,6.480964657384902e-06,6.0042435507057235e-05,1ada7a0617,theta_base
