after,before,branch,component,dataset,delta,eval_where,grad_norm_preclip,scene,state,update_input
0.3568999767303467,0.36334195733070374,base,maskdistill,scannetpp,-0.006441980600357056,after_on_input,2.8222620487213135,09c1414f1b,theta_base,probe0/m0
0.07136207818984985,0.08102095127105713,base,rkd_sh_d,scannetpp,-0.009658873081207275,after_on_input,2.8222620487213135,09c1414f1b,theta_base,probe0/m0
0.07342173159122467,0.10034972429275513,base,rkd_sh_a,scannetpp,-0.026927992701530457,after_on_input,2.8222620487213135,09c1414f1b,theta_base,probe0/m0
0.00030187793890945613,0.006672761868685484,base,couple,scannetpp,-0.006370883929776028,after_on_input,2.8222620487213135,09c1414f1b,theta_base,probe0/m0
1.503017783164978,1.4637680053710938,base,rel_rot,scannetpp,0.03924977779388428,after_on_input,2.8222620487213135,09c1414f1b,theta_base,probe0/m0
0.8097705841064453,0.871736466884613,base,rel_tdir,scannetpp,-0.061965882778167725,after_on_input,2.8222620487213135,09c1414f1b,theta_base,probe0/m0
0.15137523412704468,0.15665504336357117,base,maskdistill,scannetpp,-0.005279809236526489,after_on_probe0_clean,2.8222620487213135,09c1414f1b,theta_base,probe0/m0
0.019741831347346306,0.020144669339060783,base,rkd_sh_d,scannetpp,-0.00040283799171447754,after_on_probe0_clean,2.8222620487213135,09c1414f1b,theta_base,probe0/m0
0.039514701813459396,0.04291749745607376,base,rkd_sh_a,scannetpp,-0.0034027956426143646,after_on_probe0_clean,2.8222620487213135,09c1414f1b,theta_base,probe0/m0
0.003190844552591443,0.005577106960117817,base,couple,scannetpp,-0.002386262407526374,after_on_probe0_clean,2.8222620487213135,09c1414f1b,theta_base,probe0/m0
0.14802271127700806,0.1501910537481308,base,rel_rot,scannetpp,-0.0021683424711227417,after_on_probe0_clean,2.8222620487213135,09c1414f1b,theta_base,probe0/m0
0.07440362870693207,0.09092119336128235,base,rel_tdir,scannetpp,-0.01651756465435028,after_on_probe0_clean,2.8222620487213135,09c1414f1b,theta_base,probe0/m0
0.35912585258483887,0.36334195733070374,base+R,maskdistill,scannetpp,-0.004216104745864868,after_on_input,8.864675521850586,09c1414f1b,theta_base,probe0/m0
0.07807344943284988,0.08102095127105713,base+R,rkd_sh_d,scannetpp,-0.002947501838207245,after_on_input,8.864675521850586,09c1414f1b,theta_base,probe0/m0
0.09038786590099335,0.10034972429275513,base+R,rkd_sh_a,scannetpp,-0.00996185839176178,after_on_input,8.864675521850586,09c1414f1b,theta_base,probe0/m0
0.00162119057495147,0.006672761868685484,base+R,couple,scannetpp,-0.005051571293734014,after_on_input,8.864675521850586,09c1414f1b,theta_base,probe0/m0
1.3720149993896484,1.4637680053710938,base+R,rel_rot,scannetpp,-0.09175300598144531,after_on_input,8.864675521850586,09c1414f1b,theta_base,probe0/m0
0.849776029586792,0.871736466884613,base+R,rel_tdir,scannetpp,-0.021960437297821045,after_on_input,8.864675521850586,09c1414f1b,theta_base,probe0/m0
0.1529647558927536,0.15665504336357117,base+R,maskdistill,scannetpp,-0.003690287470817566,after_on_probe0_clean,8.864675521850586,09c1414f1b,theta_base,probe0/m0
0.020050063729286194,0.020144669339060783,base+R,rkd_sh_d,scannetpp,-9.460560977458954e-05,after_on_probe0_clean,8.864675521850586,09c1414f1b,theta_base,probe0/m0
0.04089292883872986,0.04291749745607376,base+R,rkd_sh_a,scannetpp,-0.0020245686173439026,after_on_probe0_clean,8.864675521850586,09c1414f1b,theta_base,probe0/m0
0.003879800671711564,0.005577106960117817,base+R,couple,scannetpp,-0.0016973062884062529,after_on_probe0_clean,8.864675521850586,09c1414f1b,theta_base,probe0/m0
0.14813530445098877,0.1501910537481308,base+R,rel_rot,scannetpp,-0.002055749297142029,after_on_probe0_clean,8.864675521850586,09c1414f1b,theta_base,probe0/m0
0.08102288097143173,0.09092119336128235,base+R,rel_tdir,scannetpp,-0.009898312389850616,after_on_probe0_clean,8.864675521850586,09c1414f1b,theta_base,probe0/m0
0.35831451416015625,0.36334195733070374,base+t,maskdistill,scannetpp,-0.005027443170547485,after_on_input,5.692789554595947,09c1414f1b,theta_base,probe0/m0
0.07258351892232895,0.08102095127105713,base+t,rkd_sh_d,scannetpp,-0.00843743234872818,after_on_input,5.692789554595947,09c1414f1b,theta_base,probe0/m0
0.07760732620954514,0.10034972429275513,base+t,rkd_sh_a,scannetpp,-0.02274239808320999,after_on_input,5.692789554595947,09c1414f1b,theta_base,probe0/m0
0.0013375619892030954,0.006672761868685484,base+t,couple,scannetpp,-0.0053351998794823885,after_on_input,5.692789554595947,09c1414f1b,theta_base,probe0/m0
1.5159342288970947,1.4637680053710938,base+t,rel_rot,scannetpp,0.05216622352600098,after_on_input,5.692789554595947,09c1414f1b,theta_base,probe0/m0
0.8163294196128845,0.871736466884613,base+t,rel_tdir,scannetpp,-0.055407047271728516,after_on_input,5.692789554595947,09c1414f1b,theta_base,probe0/m0
0.15158645808696747,0.15665504336357117,base+t,maskdistill,scannetpp,-0.005068585276603699,after_on_probe0_clean,5.692789554595947,09c1414f1b,theta_base,probe0/m0
0.01998307928442955,0.020144669339060783,base+t,rkd_sh_d,scannetpp,-0.00016159005463123322,after_on_probe0_clean,5.692789554595947,09c1414f1b,theta_base,probe0/m0
0.04010767489671707,0.04291749745607376,base+t,rkd_sh_a,scannetpp,-0.0028098225593566895,after_on_probe0_clean,5.692789554595947,09c1414f1b,theta_base,probe0/m0
0.0036620490718632936,0.005577106960117817,base+t,couple,scannetpp,-0.0019150578882545233,after_on_probe0_clean,5.692789554595947,09c1414f1b,theta_base,probe0/m0
0.15054337680339813,0.1501910537481308,base+t,rel_rot,scannetpp,0.000352323055267334,after_on_probe0_clean,5.692789554595947,09c1414f1b,theta_base,probe0/m0
0.07685886323451996,0.09092119336128235,base+t,rel_tdir,scannetpp,-0.01406233012676239,after_on_probe0_clean,5.692789554595947,09c1414f1b,theta_base,probe0/m0
0.35820233821868896,0.36334195733070374,base+R+t,maskdistill,scannetpp,-0.0051396191120147705,after_on_input,10.153404235839844,09c1414f1b,theta_base,probe0/m0
0.07660286873579025,0.08102095127105713,base+R+t,rkd_sh_d,scannetpp,-0.004418082535266876,after_on_input,10.153404235839844,09c1414f1b,theta_base,probe0/m0
0.08641234040260315,0.10034972429275513,base+R+t,rkd_sh_a,scannetpp,-0.013937383890151978,after_on_input,10.153404235839844,09c1414f1b,theta_base,probe0/m0
0.0019904104992747307,0.006672761868685484,base+R+t,couple,scannetpp,-0.004682351369410753,after_on_input,10.153404235839844,09c1414f1b,theta_base,probe0/m0
1.3835080862045288,1.4637680053710938,base+R+t,rel_rot,scannetpp,-0.08025991916656494,after_on_input,10.153404235839844,09c1414f1b,theta_base,probe0/m0
0.8406585454940796,0.871736466884613,base+R+t,rel_tdir,scannetpp,-0.031077921390533447,after_on_input,10.153404235839844,09c1414f1b,theta_base,probe0/m0
0.15198805928230286,0.15665504336357117,base+R+t,maskdistill,scannetpp,-0.0046669840812683105,after_on_probe0_clean,10.153404235839844,09c1414f1b,theta_base,probe0/m0
0.019854536280035973,0.020144669339060783,base+R+t,rkd_sh_d,scannetpp,-0.0002901330590248108,after_on_probe0_clean,10.153404235839844,09c1414f1b,theta_base,probe0/m0
0.039696063846349716,0.04291749745607376,base+R+t,rkd_sh_a,scannetpp,-0.003221433609724045,after_on_probe0_clean,10.153404235839844,09c1414f1b,theta_base,probe0/m0
0.0034379998687654734,0.005577106960117817,base+R+t,couple,scannetpp,-0.0021391070913523436,after_on_probe0_clean,10.153404235839844,09c1414f1b,theta_base,probe0/m0
0.14765527844429016,0.1501910537481308,base+R+t,rel_rot,scannetpp,-0.002535775303840637,after_on_probe0_clean,10.153404235839844,09c1414f1b,theta_base,probe0/m0
0.0753224790096283,0.09092119336128235,base+R+t,rel_tdir,scannetpp,-0.015598714351654053,after_on_probe0_clean,10.153404235839844,09c1414f1b,theta_base,probe0/m0
0.3612857460975647,0.3652417063713074,base,maskdistill,scannetpp,-0.003955960273742676,after_on_input,3.3515207767486572,09c1414f1b,theta_rel,probe0/m0
