cond,cosine,dataset,group,probe,scene,state,value
clean,"cos(g_maskdistill,g_rkd_sh_d)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.16918353736400604
clean,"cos(g_maskdistill,g_rkd_sh_a)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.3167162537574768
clean,"cos(g_maskdistill,g_couple)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.4932345747947693
clean,"cos(g_maskdistill,g_rel_rot)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.3111957907676697
clean,"cos(g_maskdistill,g_rel_tdir)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.3531661927700043
clean,"cos(g_rkd_sh_d,g_rkd_sh_a)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.9652432203292847
clean,"cos(g_rkd_sh_d,g_couple)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.8860706090927124
clean,"cos(g_rkd_sh_d,g_rel_rot)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.04850250482559204
clean,"cos(g_rkd_sh_d,g_rel_tdir)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.9438636302947998
clean,"cos(g_rkd_sh_a,g_couple)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.9113723635673523
clean,"cos(g_rkd_sh_a,g_rel_rot)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.08044711500406265
clean,"cos(g_rkd_sh_a,g_rel_tdir)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.9972725510597229
clean,"cos(g_couple,g_rel_rot)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.13559016585350037
clean,"cos(g_couple,g_rel_tdir)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.9074636697769165
clean,"cos(g_rel_rot,g_rel_tdir)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.09391684830188751
clean,"cos(g_rel_rot,g_base)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.09848923981189728
clean,"cos(g_rel_tdir,g_base)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.9868215918540955
clean,"cos(g_rel_rot,g_base)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.23538321256637573
clean,"cos(g_rel_tdir,g_base)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.9857813119888306
clean,"cos(g_rel_rot,g_base)",scannetpp,cam_token,probe0,09c1414f1b,theta0,-0.5995140671730042
clean,"cos(g_rel_tdir,g_base)",scannetpp,cam_token,probe0,09c1414f1b,theta0,0.9951593279838562
clean,"cos(g_rel_rot,g_base)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.1198357343673706
clean,"cos(g_rel_tdir,g_base)",scannetpp,ALL,probe0,09c1414f1b,theta0,0.9866830110549927
clean,loss[maskdistill],scannetpp,-,probe0,09c1414f1b,theta0,0.15596912801265717
clean,loss[rkd_sh_d],scannetpp,-,probe0,09c1414f1b,theta0,0.019067782908678055
