cond,couple,dataset,frames,input,maskdistill,rel_rot,rel_tdir,rkd_sh_a,rkd_sh_d,scene,state
m2,7.661608105991036e-05,7scenes,19+102+269+186+519+352+769+436,pair9,0.16210216283798218,0.0002507323515601456,6.423394370358437e-05,6.785830919397995e-05,1.7131278582382947e-05,chess,theta0
m3,1.3736043001699727e-05,7scenes,19+102+269+186+519+352+769+436,pair9,0.15944825112819672,0.000511182239279151,1.627206802368164e-05,1.8217169781564735e-05,5.706277079298161e-05,chess,theta0
clean,0.00013766737538389862,7scenes,13+97+263+180+513+347+763+430,probe0,0.008267353288829327,0.0002245780051453039,2.4318695068359375e-05,4.6828830818412825e-05,9.344114005216397e-06,chess,theta_base
m0,1.554040500195697e-05,7scenes,13+97+263+180+513+347+763+430,probe0,0.12179530411958694,0.00016422098269686103,1.6798576325527392e-05,6.082686013542116e-06,6.963084160815924e-06,chess,theta_base
m1,3.7312591302907094e-05,7scenes,13+97+263+180+513+347+763+430,probe0,0.11960607767105103,0.00017244942137040198,3.4421682357788086e-05,2.0852194211329333e-05,1.11173685581889e-05,chess,theta_base
m2,0.0001800704194465652,7scenes,13+97+263+180+513+347+763+430,probe0,0.12261040508747101,0.00016198841331060976,3.11732292175293e-05,3.1519892218057066e-05,1.9457904272712767e-05,chess,theta_base
m3,4.006152209967695e-07,7scenes,13+97+263+180+513+347+763+430,probe0,0.1204158365726471,0.00023116276133805513,7.96814783825539e-05,9.512968244962394e-05,1.9426446669967845e-05,chess,theta_base
clean,5.304602746036835e-05,7scenes,46+129+296+213+546+379+796+463,probe1,0.007818691432476044,0.00014993539662100375,4.64022159576416e-05,1.3956890143163037e-05,5.452598998090252e-06,chess,theta_base
m0,4.117835032957373e-07,7scenes,46+129+296+213+546+379+796+463,probe1,0.12097463756799698,0.0002943317813333124,7.386009383480996e-05,2.505104748706799e-05,2.5029177777469158e-05,chess,theta_base
m1,5.786438123323023e-05,7scenes,46+129+296+213+546+379+796+463,probe1,0.12389887124300003,0.00019323283049743623,8.895993232727051e-05,5.5426637118216604e-05,5.877023340872256e-06,chess,theta_base
m2,6.176749593578279e-05,7scenes,46+129+296+213+546+379+796+463,probe1,0.11939258128404617,0.0001235737290699035,9.993712410505395e-06,1.497530593042029e-05,5.0905055104522035e-06,chess,theta_base
