after,before,branch,component,dataset,delta,eval_where,grad_norm_preclip,scene,state,update_input
0.21063174307346344,0.21208614110946655,base,maskdistill,7scenes,-0.0014543980360031128,after_on_input,1.0307387113571167,office,theta_base,pair5/m0
0.008384885266423225,0.011083809658885002,base,rkd_sh_d,7scenes,-0.0026989243924617767,after_on_input,1.0307387113571167,office,theta_base,pair5/m0
0.019620392471551895,0.023374103009700775,base,rkd_sh_a,7scenes,-0.00375371053814888,after_on_input,1.0307387113571167,office,theta_base,pair5/m0
0.0037730049807578325,0.005270207300782204,base,couple,7scenes,-0.0014972023200243711,after_on_input,1.0307387113571167,office,theta_base,pair5/m0
0.03038749098777771,0.03869490325450897,base,rel_rot,7scenes,-0.008307412266731262,after_on_input,1.0307387113571167,office,theta_base,pair5/m0
0.0199660062789917,0.023485779762268066,base,rel_tdir,7scenes,-0.003519773483276367,after_on_input,1.0307387113571167,office,theta_base,pair5/m0
0.03658080846071243,0.03657449781894684,base,maskdistill,7scenes,6.310641765594482e-06,after_on_probe0_clean,1.0307387113571167,office,theta_base,pair5/m0
0.026771381497383118,0.026841487735509872,base,rkd_sh_d,7scenes,-7.010623812675476e-05,after_on_probe0_clean,1.0307387113571167,office,theta_base,pair5/m0
0.03005746379494667,0.03013448789715767,base,rkd_sh_a,7scenes,-7.702410221099854e-05,after_on_probe0_clean,1.0307387113571167,office,theta_base,pair5/m0
0.005719681736081839,0.005755584221333265,base,couple,7scenes,-3.59024852514267e-05,after_on_probe0_clean,1.0307387113571167,office,theta_base,pair5/m0
0.0012129725655540824,0.0011266273213550448,base,rel_rot,7scenes,8.634524419903755e-05,after_on_probe0_clean,1.0307387113571167,office,theta_base,pair5/m0
0.14123661816120148,0.1435549557209015,base,rel_tdir,7scenes,-0.002318337559700012,after_on_probe0_clean,1.0307387113571167,office,theta_base,pair5/m0
0.21084290742874146,0.21208614110946655,base+R,maskdistill,7scenes,-0.0012432336807250977,after_on_input,1.8146458864212036,office,theta_base,pair5/m0
0.008525235578417778,0.011083809658885002,base+R,rkd_sh_d,7scenes,-0.002558574080467224,after_on_input,1.8146458864212036,office,theta_base,pair5/m0
0.020257484167814255,0.023374103009700775,base+R,rkd_sh_a,7scenes,-0.0031166188418865204,after_on_input,1.8146458864212036,office,theta_base,pair5/m0
0.0036558262072503567,0.005270207300782204,base+R,couple,7scenes,-0.001614381093531847,after_on_input,1.8146458864212036,office,theta_base,pair5/m0
0.028699485585093498,0.03869490325450897,base+R,rel_rot,7scenes,-0.009995417669415474,after_on_input,1.8146458864212036,office,theta_base,pair5/m0
