cam_pair,cond,dataset,frames,input,rot_chordal,rot_geodesic_deg,scene,state,t_rel_norm_student,t_rel_norm_teacher,tdir_1mc,tdir_angle_deg,view0_depth_finite_frac,view0_det,view0_orth_err,view1_depth_finite_frac,view1_det,view1_orth_err,view2_depth_finite_frac,view2_det,view2_orth_err,view3_depth_finite_frac,view3_det,view3_orth_err
01,m0,7scenes,25+108+275+192+525+358+775+442,probe1,0.04439587518572807,8.544403076171875,office,theta0,0.7028846144676208,0.6542685627937317,0.01509237289428711,7.04327917098999,1.0,1.0,2.0839245259973715e-11,,,,,,,,,
02,m0,7scenes,25+108+275+192+525+358+775+442,probe1,0.006304379552602768,3.217228412628174,office,theta0,0.43502798676490784,0.46611151099205017,0.00010514259338378906,0.5875081419944763,,,,1.0,1.0,2.3801565873782238e-07,,,,,,
03,m0,7scenes,25+108+275+192+525+358+775+442,probe1,0.0008940617553889751,1.211438536643982,office,theta0,0.8283110857009888,0.8960312604904175,0.00020647048950195312,0.8232948184013367,,,,,,,1.0,0.9999999403953552,7.110161703849371e-08,,,
12,m0,7scenes,25+108+275+192+525+358+775+442,probe1,0.0831746906042099,11.704690933227539,office,theta0,0.49971094727516174,0.5364242792129517,0.08443200588226318,16.707674026489258,,,,,,,,,,1.0,1.0,5.093774291253794e-08
13,m0,7scenes,25+108+275+192+525+358+775+442,probe1,0.055374424904584885,9.544766426086426,office,theta0,0.22996219992637634,0.38629981875419617,0.07913434505462646,16.171401977539062,,,,,,,,,,,,
23,m0,7scenes,25+108+275+192+525+358+775+442,probe1,0.003961823880672455,2.5502147674560547,office,theta0,0.5034895539283752,0.558761477470398,0.00017338991165161133,0.7543329000473022,,,,,,,,,,,,
01,m1,7scenes,25+108+275+192+525+358+775+442,probe1,0.012640432454645634,4.556124687194824,office,theta0,0.4128619134426117,0.6542685627937317,0.01853996515274048,7.807508945465088,1.0,1.0,2.135040755302242e-11,,,,,,,,,
02,m1,7scenes,25+108+275+192+525+358+775+442,probe1,0.00201026676222682,1.8166077136993408,office,theta0,0.4173116683959961,0.46611151099205017,0.0003470778465270996,1.0675289630889893,,,,1.0,1.0,2.1485219292571855e-07,,,,,,
03,m1,7scenes,25+108+275+192+525+358+775+442,probe1,0.0007926742546260357,1.1405527591705322,office,theta0,0.8097295761108398,0.8960312604904175,0.00012415647506713867,0.6385777592658997,,,,,,,1.0,0.9999999403953552,1.6065565944245463e-07,,,
12,m1,7scenes,25+108+275+192+525+358+775+442,probe1,0.023338694125413895,6.192389011383057,office,theta0,0.3610110878944397,0.5364242792129517,0.05418950319290161,13.367971420288086,,,,,,,,,,1.0,1.0,1.2520958136974514e-07
13,m1,7scenes,25+108+275+192+525+358+775+442,probe1,0.016044994816184044,5.133547782897949,office,theta0,0.4689878523349762,0.38629981875419617,0.051611900329589844,13.044755935668945,,,,,,,,,,,,
23,m1,7scenes,25+108+275+192+525+358+775+442,probe1,0.0021864725276827812,1.8944456577301025,office,theta0,0.4956788420677185,0.558761477470398,0.00046944618225097656,1.2414352893829346,,,,,,,,,,,,
01,m2,7scenes,25+108+275+192+525+358+775+442,probe1,0.020661482587456703,5.826048851013184,office,theta0,0.556373655796051,0.6542685627937317,0.03571450710296631,10.844097137451172,1.0,1.0,2.0767778122210423e-11,,,,,,,,,
02,m2,7scenes,25+108+275+192+525+358+775+442,probe1,0.001469705137424171,1.5531818866729736,office,theta0,0.44541019201278687,0.46611151099205017,0.0002697110176086426,0.9408683776855469,,,,1.0,0.9999998211860657,2.867227522074245e-07,,,,,,
03,m2,7scenes,25+108+275+192+525+358+775+442,probe1,0.0003551242407411337,0.7631016373634338,office,theta0,0.8231886029243469,0.8960312604904175,4.965066909790039e-05,0.40348300337791443,,,,,,,1.0,0.9999999403953552,7.236153720668881e-08,,,
12,m2,7scenes,25+108+275+192+525+358+775+442,probe1,0.03219073265790939,7.273918628692627,office,theta0,0.3388440012931824,0.5364242792129517,0.02145206928253174,8.399359703063965,,,,,,,,,,1.0,1.0000001192092896,1.410525527489881e-07
13,m2,7scenes,25+108+275+192+525+358+775+442,probe1,0.025226706638932228,6.438214302062988,office,theta0,0.2834564447402954,0.38629981875419617,0.06355077028274536,14.482367515563965,,,,,,,,,,,,
23,m2,7scenes,25+108+275+192+525+358+775+442,probe1,0.0008748788386583328,1.19844651222229,office,theta0,0.49244099855422974,0.558761477470398,0.00033026933670043945,1.0411745309829712,,,,,,,,,,,,
01,m3,7scenes,25+108+275+192+525+358+775+442,probe1,0.0014973937068134546,1.5679787397384644,office,theta0,0.44648507237434387,0.6542685627937317,0.08874374628067017,17.132095336914062,1.0,1.0,1.0939132412401964e-11,,,,,,,,,
02,m3,7scenes,25+108+275+192+525+358+775+442,probe1,0.001870418549515307,1.7521182298660278,office,theta0,0.4310699701309204,0.46611151099205017,7.522106170654297e-05,0.49692827463150024,,,,1.0,0.9999998211860657,2.0021178670504014e-07,,,,,,
03,m3,7scenes,25+108+275+192+525+358+775+442,probe1,0.00012063959729857743,0.44499388337135315,office,theta0,0.8156595826148987,0.8960312604904175,5.900859832763672e-05,0.44013041257858276,,,,,,,1.0,0.9999999403953552,1.3558972966620786e-07,,,
12,m3,7scenes,25+108+275+192+525+358+775+442,probe1,0.006301462184637785,3.2164981365203857,office,theta0,0.2364230453968048,0.5364242792129517,0.02343285083770752,8.779305458068848,,,,,,,,,,1.0,1.0000001192092896,1.3971192913686536e-07
13,m3,7scenes,25+108+275+192+525+358+775+442,probe1,0.002209786791354418,1.9047480821609497,office,theta0,0.38831737637519836,0.38629981875419617,0.22335600852966309,27.33685874938965,,,,,,,,,,,,
23,m3,7scenes,25+108+275+192+525+358+775+442,probe1,0.0011258433805778623,1.3591233491897583,office,theta0,0.49960386753082275,0.558761477470398,0.0002576112747192383,0.9196227788925171,,,,,,,,,,,,
01,clean,7scenes,68+151+318+235+568+401+818+485,pair5,5.669330130331218e-05,0.30646705627441406,office,theta0,0.1869036853313446,0.18269173800945282,0.0005934238433837891,1.3957765102386475,1.0,1.0,1.0379098622226302e-11,,,,,,,,,
02,clean,7scenes,68+151+318+235+568+401+818+485,pair5,0.007125098258256912,3.420279026031494,office,theta0,0.5199717283248901,0.6314061284065247,0.004651367664337158,3.908358573913574,,,,1.0,0.9999998211860657,3.450352039635618e-07,,,,,,
03,clean,7scenes,68+151+318+235+568+401+818+485,pair5,4.815025931748096e-06,0.09278742223978043,office,theta0,0.871138334274292,0.8831304311752319,8.285045623779297e-06,0.16551098227500916,,,,,,,1.0,1.0,1.093445192168474e-07,,,
12,clean,7scenes,68+151+318+235+568+401+818+485,pair5,0.007368400692939758,3.478402614593506,office,theta0,0.5074161887168884,0.6305487155914307,0.0005803108215332031,1.3802682161331177,,,,,,,,,,1.0,0.9999999403953552,1.4007773074808938e-07
13,clean,7scenes,68+151+318+235+568+401+818+485,pair5,3.715324783115648e-05,0.25022920966148376,office,theta0,0.7416474223136902,0.7557185888290405,0.00010579824447631836,0.5895031094551086,,,,,,,,,,,,
23,clean,7scenes,68+151+318+235+568+401+818+485,pair5,0.0074000488966703415,3.4858245849609375,office,theta0,0.5462825894355774,0.5864129662513733,0.010342121124267578,5.829277992248535,,,,,,,,,,,,
01,m0,7scenes,68+151+318+235+568+401+818+485,pair5,0.008153894916176796,3.65901780128479,office,theta0,0.21084031462669373,0.18269173800945282,0.014565825462341309,6.9191718101501465,1.0,1.0,2.6524561626967147e-12,,,,,,,,,
02,m0,7scenes,68+151+318+235+568+401+818+485,pair5,0.035367172211408615,7.624781131744385,office,theta0,0.4903873801231384,0.6314061284065247,0.05883389711380005,13.931780815124512,,,,1.0,1.0,1.4326828079447296e-07,,,,,,
03,m0,7scenes,68+151+318+235+568+401+818+485,pair5,0.0002880633110180497,0.68756502866745,office,theta0,0.8724409937858582,0.8831304311752319,2.5510787963867188e-05,0.28939101099967957,,,,,,,1.0,1.0000001192092896,1.2486883349538402e-07,,,
12,m0,7scenes,68+151+318+235+568+401+818+485,pair5,0.0713275671005249,10.836380004882812,office,theta0,0.48012682795524597,0.6305487155914307,0.017941832542419434,7.680355072021484,,,,,,,,,,1.0,1.0,2.1108833436755958e-07
13,m0,7scenes,68+151+318+235+568+401+818+485,pair5,0.0072920843958854675,3.460230588912964,office,theta0,0.7553996443748474,0.7557185888290405,0.007934927940368652,5.105494499206543,,,,,,,,,,,,
23,m0,7scenes,68+151+318+235+568+401+818+485,pair5,0.038457829505205154,7.95149564743042,office,theta0,0.47257331013679504,0.5864129662513733,0.04074960947036743,11.5857515335083,,,,,,,,,,,,
01,m1,7scenes,68+151+318+235+568+401+818+485,pair5,0.0820700153708458,11.626423835754395,office,theta0,0.06121222674846649,0.18269173800945282,0.13835453987121582,21.43657112121582,1.0,1.0,4.758606703125778e-12,,,,,,,,,
02,m1,7scenes,68+151+318+235+568+401+818+485,pair5,0.02821239084005356,6.808959007263184,office,theta0,0.44608765840530396,0.6314061284065247,0.015021920204162598,7.02679967880249,,,,1.0,0.9999999403953552,2.38762851267893e-07,,,,,,
03,m1,7scenes,68+151+318+235+568+401+818+485,pair5,0.00010918189218500629,0.42336153984069824,office,theta0,0.8639473915100098,0.8831304311752319,1.5020370483398438e-05,0.22205635905265808,,,,,,,1.0,1.0,4.819856513904597e-08,,,
12,m1,7scenes,68+151+318+235+568+401+818+485,pair5,0.020618511363863945,5.819990158081055,office,theta0,0.43682318925857544,0.6305487155914307,0.14930802583694458,22.27941131591797,,,,,,,,,,1.0,1.0,2.04115863766674e-07
