cond,cosine,dataset,group,probe,scene,state,value
clean,"cos(g_couple,g_rel_tdir)",7scenes,ALL,probe0,office,theta0,-0.9516624212265015
clean,"cos(g_rel_rot,g_rel_tdir)",7scenes,ALL,probe0,office,theta0,0.04105447977781296
clean,"cos(g_rel_rot,g_base)",7scenes,lora_early,probe0,office,theta0,0.2543005049228668
clean,"cos(g_rel_tdir,g_base)",7scenes,lora_early,probe0,office,theta0,0.7739766836166382
clean,"cos(g_rel_rot,g_base)",7scenes,lora_late,probe0,office,theta0,0.11483758687973022
clean,"cos(g_rel_tdir,g_base)",7scenes,lora_late,probe0,office,theta0,0.744560956954956
clean,"cos(g_rel_rot,g_base)",7scenes,cam_token,probe0,office,theta0,0.29913243651390076
clean,"cos(g_rel_tdir,g_base)",7scenes,cam_token,probe0,office,theta0,0.2863204777240753
clean,"cos(g_rel_rot,g_base)",7scenes,ALL,probe0,office,theta0,0.22283712029457092
clean,"cos(g_rel_tdir,g_base)",7scenes,ALL,probe0,office,theta0,0.7639251947402954
clean,loss[maskdistill],7scenes,-,probe0,office,theta0,0.04079622030258179
clean,loss[rkd_sh_d],7scenes,-,probe0,office,theta0,0.03186865895986557
clean,loss[rkd_sh_a],7scenes,-,probe0,office,theta0,0.03172861039638519
clean,loss[couple],7scenes,-,probe0,office,theta0,0.005480649881064892
clean,loss[rel_rot],7scenes,-,probe0,office,theta0,0.0014685227070003748
clean,loss[rel_tdir],7scenes,-,probe0,office,theta0,0.2021474838256836
m0,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,lora_early,probe0,office,theta0,0.8731125593185425
m0,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,lora_early,probe0,office,theta0,0.8988087177276611
m0,"cos(g_maskdistill,g_couple)",7scenes,lora_early,probe0,office,theta0,0.9009292125701904
m0,"cos(g_maskdistill,g_rel_rot)",7scenes,lora_early,probe0,office,theta0,0.9121876955032349
m0,"cos(g_maskdistill,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.915014386177063
m0,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,lora_early,probe0,office,theta0,0.9932166934013367
m0,"cos(g_rkd_sh_d,g_couple)",7scenes,lora_early,probe0,office,theta0,0.9909356832504272
m0,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,lora_early,probe0,office,theta0,0.9839727878570557
m0,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.9588750600814819
m0,"cos(g_rkd_sh_a,g_couple)",7scenes,lora_early,probe0,office,theta0,0.9987688064575195
m0,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,lora_early,probe0,office,theta0,0.9900509715080261
m0,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.982406735420227
m0,"cos(g_couple,g_rel_rot)",7scenes,lora_early,probe0,office,theta0,0.9907488822937012
m0,"cos(g_couple,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.9803453683853149
m0,"cos(g_rel_rot,g_rel_tdir)",7scenes,lora_early,probe0,office,theta0,0.9804694056510925
m0,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,lora_late,probe0,office,theta0,0.9020766019821167
m0,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,lora_late,probe0,office,theta0,0.9222338199615479
m0,"cos(g_maskdistill,g_couple)",7scenes,lora_late,probe0,office,theta0,0.9262627363204956
m0,"cos(g_maskdistill,g_rel_rot)",7scenes,lora_late,probe0,office,theta0,0.9387773275375366
m0,"cos(g_maskdistill,g_rel_tdir)",7scenes,lora_late,probe0,office,theta0,0.9255110025405884
m0,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,lora_late,probe0,office,theta0,0.9924678206443787
m0,"cos(g_rkd_sh_d,g_couple)",7scenes,lora_late,probe0,office,theta0,0.9882798194885254
m0,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,lora_late,probe0,office,theta0,0.9794255495071411
m0,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,lora_late,probe0,office,theta0,0.9605515003204346
m0,"cos(g_rkd_sh_a,g_couple)",7scenes,lora_late,probe0,office,theta0,0.9978138208389282
m0,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,lora_late,probe0,office,theta0,0.9866804480552673
m0,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,lora_late,probe0,office,theta0,0.9840872287750244
m0,"cos(g_couple,g_rel_rot)",7scenes,lora_late,probe0,office,theta0,0.9880557656288147
m0,"cos(g_couple,g_rel_tdir)",7scenes,lora_late,probe0,office,theta0,0.9818599224090576
m0,"cos(g_rel_rot,g_rel_tdir)",7scenes,lora_late,probe0,office,theta0,0.9794570207595825
m0,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,cam_token,probe0,office,theta0,0.8037457466125488
m0,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,cam_token,probe0,office,theta0,0.815796971321106
m0,"cos(g_maskdistill,g_couple)",7scenes,cam_token,probe0,office,theta0,0.8159382343292236
m0,"cos(g_maskdistill,g_rel_rot)",7scenes,cam_token,probe0,office,theta0,0.8253916501998901
m0,"cos(g_maskdistill,g_rel_tdir)",7scenes,cam_token,probe0,office,theta0,0.8113992810249329
m0,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,cam_token,probe0,office,theta0,0.9947188496589661
m0,"cos(g_rkd_sh_d,g_couple)",7scenes,cam_token,probe0,office,theta0,0.9921128749847412
m0,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,cam_token,probe0,office,theta0,0.9876284003257751
m0,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,cam_token,probe0,office,theta0,0.9699013233184814
m0,"cos(g_rkd_sh_a,g_couple)",7scenes,cam_token,probe0,office,theta0,0.9984496831893921
m0,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,cam_token,probe0,office,theta0,0.9917668104171753
m0,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,cam_token,probe0,office,theta0,0.9878674745559692
m0,"cos(g_couple,g_rel_rot)",7scenes,cam_token,probe0,office,theta0,0.9933364987373352
m0,"cos(g_couple,g_rel_tdir)",7scenes,cam_token,probe0,office,theta0,0.9867516756057739
m0,"cos(g_rel_rot,g_rel_tdir)",7scenes,cam_token,probe0,office,theta0,0.9836056232452393
m0,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,ALL,probe0,office,theta0,0.8772410154342651
m0,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,ALL,probe0,office,theta0,0.9020340442657471
m0,"cos(g_maskdistill,g_couple)",7scenes,ALL,probe0,office,theta0,0.9044489860534668
m0,"cos(g_maskdistill,g_rel_rot)",7scenes,ALL,probe0,office,theta0,0.9159122109413147
m0,"cos(g_maskdistill,g_rel_tdir)",7scenes,ALL,probe0,office,theta0,0.9161499738693237
m0,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,ALL,probe0,office,theta0,0.9931092262268066
m0,"cos(g_rkd_sh_d,g_couple)",7scenes,ALL,probe0,office,theta0,0.9905344843864441
m0,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,ALL,probe0,office,theta0,0.9832913875579834
